DebugMenu_StartNameEntryEffect 0801C2A4
NewEfxClasschgOBJGain 080754C4
efxBerserkCLONE_Loop 0807571C
ekrTogiInit_Loop 080788D0
SioBat_PlayFirstMoverSound 0807D380
MapAnim_GorgonHatch_Loop 0807F1BC
NightMarefx_Loop 0807F8C0
AntitoxinPureWaterfx_Init 0807FA1C
AntitoxinPureWaterfx_Loop 0807FAA4
WarpFlashy_Init 0807FE2C
WarpFlashy_Loop 0807FE74
MapAnimRepair_Init0 080801C0
MapAnimMonsterStone_Loop1 080805CC
MapAnimBarrierfx_Init 080809BC
StartSummonUnitRevealAnim 08083360
HandleCh5xUnits_Start 080886E0
HandleCh5xUnits_End 08088730
CallRouteSplitMenu 08088798
MenuCommand_DrawRouteSplit 080887E0
SetupAutoGeneratedUnitdefs 08088A6C
EnableAllDisplay 080929B0
PutPrepChapterSprite_Default 08098A94
PutPrepInformationSprite 08098C14
SetPrepScreenMenuSelectedItem 080993B0
DrawPrepScreenMenuFrameAt 08099438
GetPrepMenuItemAmt 08099578
FadeOutCgText 0809965C
LoadPrepBannerGfx 0809AF64
WmSell_ShowDialoguePrompt 080A2074
WmSell_OnInit_ItemSelect 080A2660
WmSell_OnInit_ConfirmSell 080A280C
SioPointsSprite_Loop 080A44D0
PidStatsAddSquaresMoved 080A9260
PidStatsGetExpGain 080A940C
BonusClaimMenu_PromptSong3 080AF138
DisableAllDisplay 080B2054
SysBrownBox_Loop 080B24DC
ExtramenuUnk_LoadGfx 080B5110
StartFaceChange 080B7B2C
ClassIntroBurst_Loop 080B8088
ClassInfoDisplay_LoopWindowIn 080B87FC
ArenaUi_WelcomeDialogue 080BA51C
GetGameSurvivalRank 080BAD48
InitCharacterEndingText 080BB460
EnableKeyComboResetEN 080BF950
GMapPI_ShowLoop 080C3A44
GMapPI_HideLoop 080C3BC0
WorldmapStatus_InitGfx 080C5AC0
EndingCredits_Loop_Main 080C941C
GameIntroPrepareNintendofx 080D0DD8
OpAnimHS_InitFadeToBlack 080D0F68
OpAnimHS_FadeToBlackLoop 080D0F8C
GameEarlyStartDelay 080D1040
GameIntroIntelligentSystemsFadeIN 080D10E0
ply_memacc 080D60E8
vsprintf 080D6A4C
__sbprintf 080D6AA0
cvt 080D7A88
quorem 080D7C98
fflush 080D8AEC
__sfmoreglue 080D8BB8
_malloc_trim_r 080D8E9C
_fwalk 080D9188
_multadd 080D99D8
_calloc_r 080DA85C
GetGameClock 080DA8E0
__muldf3 080DAE94
__mulsf3 080DBA4C
