# Newly-confirmed REGION-SAME no-funcmap US-C-portable functions.
# Generated by scripts/classify_nofuncmap.py (relocation-aware
# find_runs-style match + raw-byte exact pre-pass). These are NOT in
# layout/us_jp_funcmap.tsv -- the harvest agents can target them next.
# tier: exact=raw US bytes unique in JP (immediately portable);
#       reloc-unique=isolated-compile masked .text unique in JP;
#       reloc-ambiguous=masked .text matches >=2 JP sites (carve w/ neighbour).
# jp_addr	us_addr	size	tier	name	tu
0806A2E8	08067FB8	112	reloc-ambiguous	efxNaglfarBG3_Loop	banim-efxmagic-naglfar
0806A2E8	0806807C	112	reloc-ambiguous	efxNaglfarBG4_Loop	banim-efxmagic-naglfar
0806A670	08068348	716	reloc-unique	efxNaglfarOBJRockGyre_Loop	banim-efxmagic-naglfar
0806AEE0	08068BB8	360	reloc-unique	efxDarkGrado_Loop_Main	banim-efxmagic-gleipnir
0806B048	08068D20	88	reloc-unique	efxDarkGradoMapFadeOut_Loop	banim-efxmagic-gleipnir
0806B728	08069400	136	reloc-unique	efxDarkGradoBG02_Loop_B	banim-efxmagic-gleipnir
0806BA18	0808BB44	20	reloc-ambiguous	StartTalkBoxIdle	helpbox
0806BA18	080C71C0	20	reloc-ambiguous	NewProc08AA6D04	opanim-main
0806BB1C	080697F4	132	reloc-unique	efxDarkGradoOBJ01piece_Loop	banim-efxmagic-gleipnir
0806BCCC	080699A8	284	reloc-unique	efxDarkGradoOBJ01_Loop	banim-efxmagic-gleipnir
0806BE20	08069AFC	108	reloc-unique	efxDarkGradoOBJ02piece_Loop	banim-efxmagic-gleipnir
0806C224	08069F00	264	reloc-unique	efxCrimsonEye_Loop_Main	banim-efxmagic-crimsoneye
0806C32C	0806A008	96	reloc-unique	efxCrimsonEyeBGFinish1_Loop	banim-efxmagic-crimsoneye
0806C3F0	0806A0CC	108	reloc-unique	efxCrimsonEyeOBJFinishPiece_Loop	banim-efxmagic-crimsoneye
0806C510	0806A1EC	480	reloc-unique	efxCrimsonEyeOBJFinish_Loop	banim-efxmagic-crimsoneye
0806C718	0806A3F4	136	reloc-unique	StartSubSpell_efxGorgonBGFinish_	banim-efxmagic-crimsoneye
0806C7A0	0806A47C	80	reloc-unique	efxCrimsonEyeBG_Loop	banim-efxmagic-crimsoneye
0806C8B4	0806A590	164	reloc-unique	efxCrimsonEyeOBJ_SetAffineScale	banim-efxmagic-crimsoneye
0806CC0C	0806A8E8	220	reloc-unique	efxCrimsonEyeOBJ_Loop_B	banim-efxmagic-crimsoneye
0806CCE8	0806A9C4	220	reloc-unique	efxCrimsonEyeOBJ_Loop_C	banim-efxmagic-crimsoneye
0806CDC4	0806AAA0	300	reloc-unique	efxCrimsonEyeOBJ_Loop_D	banim-efxmagic-crimsoneye
0806D254	0806AF30	344	reloc-unique	efxDarkLongMons_Loop_Main	banim-efxmagic-shadowshot
0806D3D0	0806B0AC	112	reloc-unique	efxDarkLongMonsBG01_Loop_A	banim-efxmagic-shadowshot
0806D858	0806B534	280	reloc-unique	efxGorgon_Loop_Main	banim-efxmagic-demonsurge
0806DB54	0806B830	108	reloc-unique	efxGorgonBGTwister_Loop	banim-efxmagic-demonsurge
0806DDF0	0806BACC	272	reloc-unique	EfxmagicDemonsurgeFadeBlack_Loop_HoldBlack	banim-efxmagic-demonsurge
0806DF14	0806BBF0	168	reloc-unique	efxGorgonOBJTwisterPiece_Loop	banim-efxmagic-demonsurge
0806E0B8	0806BD94	344	reloc-unique	efxGorgonOBJTwister_Loop	banim-efxmagic-demonsurge
0806E374	0806C050	104	reloc-unique	efxGorgonBGFinish_Loop	banim-efxmagic-demonsurge
0806E3DC	0806C0B8	148	reloc-unique	StartSubSpell_efxGorgonBGFinish	banim-efxmagic-demonsurge
0806E940	0806C61C	52	reloc-unique	NewEfxDamageMojiEffect	banim-efxhit
0806E974	0806C650	44	reloc-unique	efxDamageMojiEffectMain	banim-efxhit
0806E9A0	0806C67C	112	reloc-unique	NewEfxDamageMojiEffectOBJ	banim-efxhit
0806EA10	0806C6EC	48	reloc-unique	efxDamageMojiEffectOBJMain	banim-efxhit
0806EA40	0806C71C	76	reloc-unique	NewEfxPierceCritical	banim-efxhit
0806EA8C	0806CA08	48	reloc-ambiguous	efxPierceCriticalEffectMain	banim-efxhit
0806EA8C	0806C768	48	reloc-ambiguous	efxCriricalEffectMain	banim-efxhit
0806EABC	0806CA38	80	reloc-ambiguous	NewEfxPierceCriticalEffectBG	banim-efxhit
0806EABC	0806C798	80	reloc-ambiguous	NewEfxCriricalEffectBG	banim-efxhit
0806EB34	0806C810	48	reloc-ambiguous	NewEfxCriricalEffectBGCOL	banim-efxhit
0806EB34	0806CAB0	48	reloc-ambiguous	NewEfxPierceCriticalEffectBGCOL	banim-efxhit
0806EBA0	0806C87C	72	reloc-unique	NewEfxNormalEffect	banim-efxhit
0806EBE8	0806C8C4	64	reloc-ambiguous	efxNormalEffectMain	banim-efxhit
0806EC28	0806C904	140	reloc-ambiguous	NewEfxNormalEffectBG	banim-efxhit
0806ED0C	0806C9E8	32	reloc-ambiguous	NewEfxPierceCriticalEffect	banim-efxhit
0806ED0C	0806DB9C	32	reloc-ambiguous	NewEfxMagdhisEffect	banim-efxmisc
0806F978	08072ED8	28	reloc-ambiguous	NewEfxClasschgBGSE00	banim-ekrclasschg
0806F978	08072F58	28	reloc-ambiguous	NewEfxClasschgBGSE01	banim-ekrclasschg
0806F978	08078124	28	reloc-ambiguous	NewEkrSelfThunderBG	banim-ekrdragon-demonkingobj
08070E1C	0806E868	60	reloc-unique	EfxSkillCommonBG_MoveCamToSelf	banim-efxskill
08070E58	0806E8A4	76	reloc-unique	EfxSkillCommonBG_MoveCamToOther	banim-efxskill
08071FD8	0806FA28	32	reloc-unique	GetEkrDragonStatus	banim-ekrdragonstatus
08072088	0806FAD8	84	reloc-unique	EkrDragonTmCpyHFlip	banim-ekrdragonstatus
080720DC	0806FB2C	140	reloc-unique	EkrDragonTmCpyExt	banim-ekrdragonstatus
080721E0	0806FC30	32	reloc-ambiguous	Fill16_EkrTsaBuffer	banim-ekrdragon-dracozombie
08072200	0806FC50	60	reloc-ambiguous	EkrDZ_CustomBgFadeIn	banim-ekrdragon-dracozombie
08072454	0806FEA4	48	reloc-unique	EkrDZ_PrepareBanimfx	banim-ekrdragon-dracozombie
080724F8	0806FF48	388	reloc-unique	EkrDZ_ReloadCustomBg	banim-ekrdragon-dracozombie
0807267C	080700CC	212	reloc-unique	EkrDZ_ReloadCustomBgAndFadeOut	banim-ekrdragon-dracozombie
08072750	080701A0	24	reloc-ambiguous	EkrDZ_SetDragonStatAttrEndBit	banim-ekrdragon-dracozombie
08072768	080701B8	48	reloc-ambiguous	NewEkrDragonDracoZombie	banim-ekrdragon-dracozombie
08072768	080708CC	48	reloc-ambiguous	NewEkrDragonManakete	banim-ekrdragon-myrrh
08072B10	08070568	64	reloc-ambiguous	NewEkrWhiteINOUT	banim-ekrdragon-utils
08072B50	080705A8	112	reloc-ambiguous	EkrWhiteINOUT_Loop1	banim-ekrdragon-utils
08072BC0	08070618	88	reloc-ambiguous	EkrWhiteINOUT_Loop2	banim-ekrdragon-utils
08072C18	08070670	112	reloc-ambiguous	EkrWhiteINOUT_Loop3	banim-ekrdragon-utils
08072C88	080706E0	48	reloc-ambiguous	EkrWhiteINOUT_RefrainPalette	banim-ekrdragon-utils
08072EA4	080708FC	112	reloc-unique	EkrMyr_PrepareBanimfx	banim-ekrdragon-myrrh
080737A4	080712B0	124	reloc-unique	EfxPalBlackInOut	banim-efxutils
08073820	0807132C	132	reloc-unique	EfxPalWhiteInOut	banim-efxutils
0807395C	08071468	116	reloc-unique	EfxPalModifyPetrifyEffect	banim-efxutils
08073A10	0807151C	88	reloc-unique	EfxSplitColorPetrify	banim-efxutils
08073B80	0807168C	36	reloc-unique	EfxChapterMapFadeOUT	banim-efxutils
08073E74	08071990	96	reloc-unique	EfxPlaySE	banim-efxsound
08073ED4	080719F0	84	reloc-unique	Loop6C_efxSoundSE	banim-efxsound
08073F38	08071A54	40	reloc-unique	EfxOverrideBgm	banim-efxsound
08073F94	08071AB0	188	reloc-unique	M4aPlayWithPostionCtrl	banim-efxsound
080748E4	08072400	80	reloc-unique	GetEfxHpChangeType	banim-efxsound
08074B88	080726AC	496	reloc-unique	EkrPlayMainBGM	banim-efxsound
08074D78	0807289C	52	reloc-unique	EkrRestoreBGM	banim-efxsound
08074E80	080729A4	28	reloc-unique	PlaySFX	banim-efxsound
08074E9C	080729C0	32	reloc-unique	PlaySfxAutomatically	banim-efxsound
08074EF0	08072A14	48	reloc-unique	NewEkrClassChg	banim-ekrclasschg
08074F20	08072A44	892	reloc-unique	EkrClasschgMain	banim-ekrclasschg
080752B4	08072DD8	68	reloc-ambiguous	NewEkrClasschgBG1	banim-ekrclasschg
080752B4	08072E1C	68	reloc-ambiguous	NewEkrClasschgBG2	banim-ekrclasschg
0807533C	08072E60	120	reloc-unique	EfxClasschgBgMain	banim-ekrclasschg
080753D0	08072EF4	100	reloc-unique	EfxClasschgBGSE00Main	banim-ekrclasschg
08075450	08072F74	16	reloc-unique	EfxClasschgBGSE01Main	banim-ekrclasschg
08075460	08072F84	76	reloc-ambiguous	NewEfxClasschgOBJGain	banim-ekrclasschg
08075460	08072FE8	76	reloc-ambiguous	NewEfxClasschgOBJDrop	banim-ekrclasschg
08075528	0807304C	96	reloc-unique	NewEfxClasschgOBJDiffusion	banim-ekrclasschg
080755A0	080730C4	260	reloc-unique	NewEfxClasschgFIN	banim-ekrclasschg
080756A4	080731C8	88	reloc-unique	EfxClasschgFinMain	banim-ekrclasschg
080756FC	08073220	32	reloc-unique	NewEfxClasschgCLONE	banim-ekrclasschg
08075DA0	080738B8	88	reloc-unique	EkrLvup_DrawUpdatedStatus	banim-ekrlvup
08075DF8	08073910	56	reloc-unique	EkrLvup_DrawUnitName	banim-ekrlvup
08075E30	08073948	64	reloc-unique	EkrLvup_DrawPreLevelValue	banim-ekrlvup
08076170	08073CE8	304	reloc-unique	EkrLvup_InitLevelUpBox	banim-ekrlvup
080762A0	08073E18	48	reloc-unique	EkrLvup_SetBgs	banim-ekrlvup
080762D0	08073E48	68	reloc-unique	EkrLvup_InitPalette	banim-ekrlvup
08076314	08073E8C	296	reloc-unique	EkrLvup_PutWindowOnScreen	banim-ekrlvup
0807643C	08073FB4	44	reloc-unique	EkrLvup_PrepareApGfx	banim-ekrlvup
08076468	08073FE0	96	reloc-unique	EkrLvup_Promo_WindowScroll0	banim-ekrlvup
080764C8	08074040	136	reloc-unique	EkrLvup_Promo_DrawPromoNewClassName	banim-ekrlvup
08076550	080740C8	84	reloc-unique	EkrLvup_Promo_WindowScroll1	banim-ekrlvup
080765A4	0807411C	128	reloc-unique	EkrLvup_DrawNewLevel	banim-ekrlvup
08076624	0807419C	48	reloc-unique	EkrLvup_InitCounterForMainAnim	banim-ekrlvup
08076654	080741CC	240	reloc-unique	EkrLvup_MainAnime	banim-ekrlvup
08076744	080742BC	48	reloc-unique	EkrLvup_SetHBlank	banim-ekrlvup
08076780	080742F8	200	reloc-unique	EkrLvup_PutWindowOffScreen	banim-ekrlvup
08076980	08074544	60	reloc-unique	EkrLvup_OnEnd	banim-ekrlvup
080769BC	08074580	24	reloc-ambiguous	NewEfxPartsofScroll	banim-efxlvup
080769BC	0807461C	24	reloc-ambiguous	NewEfxPartsofScroll2	banim-efxlvup
08076AF8	080746C0	204	reloc-unique	NewEfxleveluphb	banim-efxlvup
08076CFC	080748C4	72	reloc-unique	NewEfxlvupbg	banim-efxlvup
08076D44	0807490C	88	reloc-unique	EfxlvupbgMain	banim-efxlvup
08076D9C	08074964	76	reloc-unique	NewEfxLvupBG2	banim-efxlvup
08076F78	08074B40	80	reloc-unique	EkrLvupApfxMain	banim-efxlvup
08076FC8	08074B90	100	reloc-unique	NewEkrLvupApfx	banim-efxlvup
0807702C	08074BF4	28	reloc-unique	EkrLvupApfxEndEach	banim-efxlvup
08077048	08074C10	104	reloc-unique	PutEkrLvupStatGainLabelGfx1	banim-efxlvup
080770B0	08074C78	224	reloc-unique	PutEkrLvupStatGainLabelGfx2	banim-efxlvup
08077190	08074D58	276	reloc-unique	BanimDrawStatupAp	banim-efxlvup
080772A4	08074E6C	112	reloc-unique	EobjLvup_SpawnArrowAndLabel	banim-efxlvup
08077314	08074EDC	56	reloc-unique	EobjLvup_RedrawGainLabel	banim-efxlvup
0807734C	08074F14	40	reloc-unique	EobjLvup_WaitEndAndClear	banim-efxlvup
08077394	08074F5C	36	reloc-unique	NewEkrTriangle	banim-ekrtriangle
080773B8	08074F80	516	reloc-unique	EkrTriangleMain	banim-ekrtriangle
080775BC	08075184	56	reloc-ambiguous	NewEkrTriPegasusKnight	banim-ekrtriangle
080775BC	08075424	56	reloc-ambiguous	NewEkrTriArmorKnight	banim-ekrtriangle
080775F4	080751BC	192	reloc-unique	EkrTriPegasusKnightMain	banim-ekrtriangle
080776B4	0807527C	140	reloc-unique	NewEkrTriPegasusKnightBG	banim-ekrtriangle
08077788	08075350	172	reloc-unique	NewEkrTriPegasusKnightOBJ	banim-ekrtriangle
08077834	080753FC	40	reloc-ambiguous	EkrTriPegasusKnightObjMain	banim-ekrtriangle
08077894	0807545C	220	reloc-unique	EkrTriArmorKnightMain	banim-ekrtriangle
08077970	08075538	388	reloc-unique	NewEkrTriArmorKnightOBJ	banim-ekrtriangle
08077B50	08075718	272	reloc-unique	NewEkrTriArmorKnightOBJ2	banim-ekrtriangle
08077E84	08075A50	32	reloc-unique	PutBanimBgIMG	banim-ekrpopup
08077EA4	08075A70	68	reloc-unique	PutBanimBgTSA	banim-ekrpopup
08077EE8	08075AB4	36	reloc-unique	PutBanimBgPAL	banim-ekrpopup
08077F0C	08075AD8	72	reloc-unique	PutBanimBG	banim-ekrpopup
08077F8C	08075B58	16	reloc-unique	EfxPlaySound5AVol100	banim-ekrpopup
08077F9C	08075B68	16	reloc-unique	EfxPlaySound5CVol100	banim-ekrpopup
08078338	08075F18	340	reloc-unique	NewEkrPopup	banim-ekrpopup
0807848C	0807606C	28	reloc-unique	BattlePopup_Wait16Frames	banim-ekrpopup
080784A8	08076088	40	reloc-unique	ekrPopup_DrawWRankUp	banim-ekrpopup
08078570	08076150	40	reloc-unique	ekrPopup_DrawWpnBroke	banim-ekrpopup
080785D4	080761B4	40	reloc-unique	ekrPopup_DrawWpnBroke2	banim-ekrpopup
0807863C	0807621C	48	reloc-unique	ekrPopup_MarkEnd	banim-ekrpopup
08079074	08076C54	268	reloc-unique	EkrDemoKingAtkRavager_Lunge	banim-ekrdragon-demonking
08079180	08076D60	136	reloc-unique	EkrDemoKingAtkRavager_Recoil	banim-ekrdragon-demonking
08079208	08076DE8	24	reloc-unique	EkrDemoKingAtkRavager_WaitHit	banim-ekrdragon-demonking
08079220	08076E00	132	reloc-unique	EkrDemoKingAtkRavager_Settle	banim-ekrdragon-demonking
080792A4	08076E84	132	reloc-unique	EkrDemoKingBodyHold	banim-ekrdragon-demonking
08079368	08076F48	136	reloc-unique	EkrDemoKingBodyShake_Out	banim-ekrdragon-demonking
080797BC	08077398	36	reloc-unique	EkrDragonTunk_WhiteOutSfx	banim-ekrdragon-demonking
08079808	080773E4	124	reloc-unique	EkrdragonDemonking_Loop	banim-ekrdragon-demonking
0807A468	08078044	52	reloc-unique	NewEkrSelfThunder	banim-ekrdragon-demonkingobj
0807A49C	08078078	44	reloc-unique	EkrSelfThunderMain	banim-ekrdragon-demonkingobj
0807A4C8	080780A4	128	reloc-unique	EfxSelfThunderBGUpdateAnimTSA	banim-ekrdragon-demonkingobj
0807A564	08078140	52	reloc-unique	EfxSelfThunderBGUpdateAnim	banim-ekrdragon-demonkingobj
0807C4D8	0807A0E4	176	reloc-unique	MuCtr_DelayMoveLoop	muctrl
0807CAC0	0807A708	36	reloc-unique	MapAnim_StoleItemPopup	mapanim
0807CAE4	0807A72C	68	reloc-unique	DisplayWpnBrokePopup	mapanim
0807CBC4	0807A80C	44	reloc-unique	MapAnim_Cleanup	mapanim
0807CC4C	0807A894	92	reloc-unique	MapAnim_PrepareNextBattleRound	mapanim
0807CCA8	0807A8F0	20	reloc-unique	MapAnim_DisplayRoundAnim	mapanim
0807CCBC	0807A904	60	reloc-unique	MapAnim_ShowPoisonEffectIfAny	mapanim
0807CCF8	0807A940	28	reloc-unique	MapAnim_MoveCameraOntoSubject	mapanim
0807CD14	0807A95C	40	reloc-unique	MapAnim_MoveCameraOntoTarget	mapanim
0807CD9C	0807AA00	76	reloc-unique	MapAnim_DisplayDeathFade	mapanim
0807CDE8	0807AA4C	144	reloc-unique	MapAnim_DisplayExpBar	mapanim
0807CF54	0807ABB8	40	reloc-unique	MapAnim_CallBattleQuoteEvents	mapanim
0807D004	0807ACAC	36	reloc-unique	SetBattleMuPalette	mapanim
0807D028	0807ACD0	28	reloc-ambiguous	MapAnim_PlayStealSe	mapanim
0807D028	0807ACEC	28	reloc-ambiguous	MapAnim_PlayStealSe_Unused	mapanim
0807D028	0807B054	28	reloc-ambiguous	MapAnimSummon_PlaySound	mapanim_summon
0807D39C	0807B070	32	reloc-unique	ProcSummonDK_ResetCounter	mapanim_summon
0807D5B4	0807B234	32	reloc-unique	ProcSummonDK_SelectDownPos	mapanim_summon
0807D5D4	0807B254	32	reloc-unique	ProcSummonDK_SelectRightPos	mapanim_summon
0807D5F4	0807B274	32	reloc-unique	ProcSummonDK_SelectLeftPos	mapanim_summon
0807D614	0807B294	32	reloc-unique	ProcSummonDK_SelectUpPos	mapanim_summon
0807D634	0807B2B4	128	reloc-unique	LoadSumMonsterFromDK	mapanim_summon
0807DD40	0807B9F8	48	reloc-unique	UncompMapBattleBoxNumGfx	mapanim_infobox
0807DD70	0807BA28	188	reloc-unique	MapAnim_DrawNumber	mapanim_infobox
0807DE2C	0807BAE4	44	reloc-unique	PrepareMapBattleBoxNumGfx	mapanim_infobox
0807DE88	0807BB40	120	reloc-unique	MapAnim_DrawBar	mapanim_infobox
0807DF10	0807BBC8	40	reloc-unique	StartMapAnimInfoWindow	mapanim_infobox
0807DF48	0807BC00	168	reloc-unique	ProcMapInfoBox_OnDraw	mapanim_infobox
0807E098	0807BD54	124	reloc-unique	MapInfoBox_DrawHp	mapanim_infobox
0807E4F0	0807C1AC	100	reloc-unique	ProcMAExpBar_FrameAdvance	mapanim_expbar
0807EE68	0807CB24	92	reloc-ambiguous	MapAnim_BeginMISSAnim	mapanim_specialeffect
0807EE68	0807CB80	92	reloc-ambiguous	MapAnim_BeginNODAMAGEAnim	mapanim_specialeffect
0807F274	0807CF30	364	reloc-unique	LoadGorgonFromEgg	mapanim_specialeffect
0807F3E0	0807D09C	24	reloc-ambiguous	MapAnim_GorgonHatch_ClearBg2	mapanim_specialeffect
0807F3E0	0807D2C8	24	reloc-ambiguous	MapLatonafx_ClearBg2	mapanim_staffeffect
0807F3E0	08080E84	24	reloc-ambiguous	SummonGfxAnim_Cleanup	mapanim_eventcall
0807F3E0	08081008	24	reloc-ambiguous	SummonUnitGfx_End	mapanim_eventcall
08080DD8	0807EA98	268	reloc-unique	PutManimLevelUpFrame	mapanim_lvupfx
080815FC	0807F2BC	80	reloc-unique	ManimLevelUpLabelColor_Loop	mapanim_lvup
0808164C	0807F30C	72	reloc-unique	ManimLevelUp_ScrollIn	mapanim_lvup
08081694	0807F354	72	reloc-unique	ManimLevelUp_ScrollOut	mapanim_lvup
080816DC	0807F39C	220	reloc-unique	ManimLevelUp_PutStatGainLabels	mapanim_lvup
080817B8	0807F478	20	reloc-unique	ManimLevelUp_DimBgm	mapanim_lvup
080817CC	0807F48C	176	reloc-unique	ManimLevelUp_StartLevelUpText	mapanim_lvup
08081888	0807F548	20	reloc-unique	ManimLevelUp_RestoreBgm	mapanim_lvup
08081A00	0807F6C0	40	reloc-unique	LoadSparkGfx	mapanim_spellassocfx
08081A28	0807F6E8	60	reloc-unique	PutSparkGfx	mapanim_spellassocfx
08081AC8	0807F788	112	reloc-unique	MapAnimRotation_Main	mapanim_spellassocfx
08081B38	0807F7F8	64	reloc-unique	StartStarRotationEffect	mapanim_spellassocfx
080825C8	08080288	260	reloc-unique	MapEventcallFx2_RampToWhite	mapanim_eventcall
080826CC	0808038C	76	reloc-unique	MapEventcallFx2_FadeOutBlend	mapanim_eventcall
08082718	080803D8	48	reloc-unique	MapEventcallFx2_ClearBgs	mapanim_eventcall
080829A0	08080660	208	reloc-unique	DemonKingSummonAnim_Init	mapanim_eventcall
08082EC4	08080B84	36	reloc-unique	DemonKingSummonAnim_Cleanup	mapanim_eventcall
0808306C	08080D2C	64	reloc-unique	New6C_SummonGfx	mapanim_eventcall
080831DC	08080E9C	72	reloc-ambiguous	StartSummonUnitRevealAnim	mapanim_eventcall
080831DC	08081020	72	reloc-ambiguous	StartGlowingCross	mapanim_eventcall
080834EC	080811AC	36	reloc-unique	GlowingCross_OnEnd	mapanim_eventcall
08083510	080811D0	28	reloc-unique	RemoveGlowingCrossDirectlyWithAnim	mapanim_eventcall
0808352C	080811EC	28	reloc-unique	GlowCrossExit_Init	mapanim_eventcall
080838D4	08081594	44	reloc-unique	MapAnim_MoveCameraOnSubject	mapanim_spellassoc
08083900	080815C0	44	reloc-unique	MapAnim_MoveCameraOnTarget	mapanim_spellassoc
0808392C	080815EC	48	reloc-unique	SpellWarpMoveCamera	mapanim_spellassoc
0808395C	0808161C	700	reloc-unique	MapAnim_BeginRoundSpecificAnims	mapanim_spellassoc
08083C54	08081914	28	reloc-unique	MapAnim_WaitForHPToEndChangingMaybe	mapanim_spellassoc
08083C70	08081930	32	reloc-ambiguous	MapAnim_PoisonEffectOnTarget	mapanim_spellassoc
08083C70	08081950	32	reloc-ambiguous	MapAnim_PoisonEffectOnTarget2	mapanim_spellassoc
08083CB0	08081970	56	reloc-unique	MapAnim_StartGorgonHatchConditional	mapanim_spellassoc
08083D28	080819E8	32	reloc-ambiguous	MapAnimCallSpellAssocLatona	mapanim_spellassoc
08083D28	08081A08	32	reloc-ambiguous	MapAnimCallSpellAssocNightMare	mapanim_spellassoc
08083D28	08081BF8	32	reloc-ambiguous	MapAnimCallSpellAssocTorch	mapanim_spellassoc
08083D68	08081A28	44	reloc-ambiguous	MapAnimCallSpellAssocAntitoxin	mapanim_spellassoc
08083D68	08081A54	44	reloc-ambiguous	MapAnimCallSpellAssocPureWater	mapanim_spellassoc
08083DC0	08081A80	48	reloc-ambiguous	MapAnimCallSpellAssocElixir	mapanim_spellassoc
08083DC0	08081B10	48	reloc-ambiguous	MapAnimCallSpellAssocRecover	mapanim_spellassoc
08083DF0	08081AB0	48	reloc-ambiguous	MapAnimCallSpellAssocHeal	mapanim_spellassoc
08083DF0	08081B40	48	reloc-ambiguous	MapAnimCallSpellAssocVulenrary	mapanim_spellassoc
08083E20	08081AE0	48	reloc-unique	MapAnimCallSpellAssocMend	mapanim_spellassoc
08083EB0	08081B70	92	reloc-unique	SpellWarpStartFlashy	mapanim_spellassoc
08083F0C	08081BCC	44	reloc-unique	SpellWarpStartFlashyAtNewPos	mapanim_spellassoc
08084014	08081CD4	36	reloc-unique	SpellWarpStartFlashFade	mapanim_spellassoc
08084038	08081CF8	36	reloc-ambiguous	SpellWarpEndFlashFade	mapanim_spellassoc
08084038	08081D1C	36	reloc-ambiguous	SpellWarpMuHide	mapanim_spellassoc
08084038	08081DE0	36	reloc-ambiguous	SpellWarpMuShow	mapanim_spellassoc
080840C4	08081D84	92	reloc-unique	SpellWarpStartImplosion	mapanim_spellassoc
08084144	08081E04	68	reloc-unique	SpellWarpSetNewPosition	mapanim_spellassoc
080841EC	08081EAC	120	reloc-unique	SetupMapAnimScanlineWindow	mapanim_scanline
08084418	080820D8	180	reloc-unique	StartManimFrameGradientScanlineEffect	mapanim_scanline
080844CC	0808218C	156	reloc-unique	PrepareProfileScanlineWindow	mapanim_scanline
08084C8C	0808294C	88	reloc-ambiguous	HBlank_MapAnimBg1OfsInterlaced	mapanim_scanline
08084C8C	08082A7C	88	reloc-ambiguous	HBlank_ScrollBG1	mapanim_scanline
08084F88	08082C50	496	reloc-unique	MapAnimEllipseScanlineCore	mapanim_scanline
08085178	08082E40	64	reloc-unique	UpdateMapAnimEllipseScanline	mapanim_scanline
08085F70	08083C48	24	reloc-ambiguous	ResetChapterFlags	eventinfo
08085F70	080952D4	24	reloc-ambiguous	ResetSioPidPool	prepscreen
08087654	08085388	40	reloc-unique	GameOver_FadeOutCurrentBgm	eventcall
0808767C	080853B0	32	reloc-unique	SkilGameOverForToturialExtraMap	eventcall
080876F4	08085428	92	reloc-unique	HideAllAlliesExceptLeader	eventcall
08087750	08085484	96	reloc-unique	ResetAllPlayerUnitState	eventcall
080877C8	080854FC	48	reloc-unique	ResetAllBG	eventcall
080878A0	080855D4	36	reloc-ambiguous	DisableAllDisplay	eventcall
080878A0	080AD5B4	36	reloc-ambiguous	DisableAllGfx	sysutil
080878C4	080855F8	32	reloc-ambiguous	EnableAllDisplay	eventcall
080878C4	0808E3D4	32	reloc-ambiguous	ChapterStatus_ShowAllLayers	uichapterstatus
080878C4	080906D8	32	reloc-ambiguous	UnitList_ResetDispFromStatScreen	unitlistscreen
080878C4	08096404	32	reloc-ambiguous	AtMenu_EnableDisplay	prep_atmenu
080878C4	080AD5D8	32	reloc-ambiguous	EnableAllGfx	sysutil
08087F48	08085C7C	336	reloc-unique	DisplayEventMapAnim	events_script_utils
08088098	08085DCC	60	reloc-unique	DrawEventMapAnimMaskfx	events_script_utils
080880D4	08085E08	64	reloc-unique	DrawEventMapAnimMaskfxTsa	events_script_utils
08088114	08085E48	76	reloc-unique	EventMapAnim_Init	events_script_utils
08088160	08085E94	240	reloc-unique	EventMapAnim_SlideSquaresInLoop	events_script_utils
08088BF0	08086934	44	reloc-ambiguous	UnusedDrawOutline	statbar
08088CFC	08086A40	236	reloc-unique	DrawStatBar	statbar
08088DE8	08086B2C	72	reloc-unique	DrawStatBarGfx	statbar
08088FA4	08086CE8	212	reloc-unique	StartMuralBackgroundExt	mural_background
08089B58	080878CC	84	reloc-unique	DisplayPage	statscreen
08089BAC	08087920	188	reloc-unique	FindNextUnit	statscreen
08089C68	080879DC	240	reloc-unique	PageSlide_OnLoop	statscreen
08089D64	08087AD8	104	reloc-unique	StartPageSlide	statscreen
08089DCC	08087B40	96	reloc-unique	GlowBlendCtrl_OnInit	statscreen
08089E2C	08087BA0	80	reloc-unique	GlowBlendCtrl_OnLoop	statscreen
08089E90	08087C04	48	reloc-unique	EndGlowBlendCtrl	statscreen
0808AEA0	08088C14	52	reloc-unique	HbRedirect_SSSupports	statscreen
0808AED4	08088C48	180	reloc-unique	UpdateHelpBoxDisplay	statscreen
0808AF88	08088CFC	64	reloc-unique	HelpBox_OnOpen	statscreen
0808AFF0	08088D64	84	reloc-unique	HelpBox_OnClose	statscreen
0808B0A0	08088E14	76	reloc-unique	StartHelpBox_Unk	statscreen
0808B128	08088E9C	204	reloc-unique	StartHelpBoxExt	statscreen
0808B1F4	08088F68	176	reloc-unique	StartHelpBoxExt_Unk	statscreen
0808B2A4	08089018	36	reloc-unique	CloseHelpBox	statscreen
0808B2C8	0808903C	36	reloc-unique	EndHelpBox	statscreen
0808B3F0	08089164	36	reloc-unique	StartMovingHelpBox	statscreen
0808B414	08089188	36	reloc-unique	StartMovingHelpBoxExt	statscreen
0808B438	080891AC	100	reloc-unique	ApplyHelpBoxContentSize	statscreen
0808B49C	08089210	140	reloc-unique	ApplyHelpBoxPosition	statscreen
0808B54C	080892C0	16	reloc-ambiguous	ResetHelpBoxInitSize	statscreen
0808B55C	080892D0	80	reloc-ambiguous	GetHelpBoxItemInfoKind	statscreen
0808B894	08089624	72	reloc-unique	PutChapterTitleGfx	chapter_title
