# US<->JP ROM-address map derived from FEBuilderGBA (GPL-3.0) ROM definitions: ROMFE8JP.cs / ROMFE8U.cs.
# Factual addresses only; no copied code/text. Reference data only (not a build input).
# Generated by scripts/extract_febuilder_map.py (deterministic).
# region: byte comparison of a 32-byte window at jp_vma (baserom.gba) vs us_vma (US ROM); oob = window outside the 16 MB image.
# name	jp_vma	us_vma	region	exact_symbol	nearest_symbol_off	source
compress_image_borderline_address	0x080DB000	0x080DB000	diff		gUnkData_1+0xA0	ROMFE8JP.cs:480
builddate_address	0x080DC110	0x080D74D0	diff	gBuildDateTime	gBuildDateTime	ROMFE8JP.cs:481
main_menu_width_address	0x085C56F6	0x0859D216	diff		gMapMenuDef+0x2	ROMFE8JP.cs:485
vanilla_field_config_address	0x0819B198	0x081AB69C	same	TileConfiguration1	TileConfiguration1	ROMFE8JP.cs:492
vanilla_field_image_address	0x08188888	0x08198D8C	same	ObjectType1	ObjectType1	ROMFE8JP.cs:493
vanilla_village_config_address	0x08199C3C	0x081AA140	same	TileConfiguration2	TileConfiguration2	ROMFE8JP.cs:494
vanilla_village_image_address	0x08181610	0x08191B14	same	ObjectType2	ObjectType2	ROMFE8JP.cs:495
vanilla_casle_config_address	0x081987C8	0x081A8CCC	same	TileConfiguration3	TileConfiguration3	ROMFE8JP.cs:496
vanilla_casle_image_address	0x0817B398	0x0818B89C	same	ObjectType3	ObjectType3	ROMFE8JP.cs:497
vanilla_plain_config_address	0x08197170	0x081A7674	same	TileConfiguration4	TileConfiguration4	ROMFE8JP.cs:498
vanilla_plain_image_address	0x08174C50	0x08185154	same	ObjectType4	ObjectType4	ROMFE8JP.cs:499
map_minimap_tile_array_pointer	0x080AC44C	0x080A7A34	diff		GetMinimapTileAt+0x28	ROMFE8JP.cs:500
worldmap_node_armory_empty_address	0x08AC2978	0x08A3EFB4	same	ItemList_WM_BorderMulan_Armory	ItemList_WM_BorderMulan_Armory	ROMFE8JP.cs:504
worldmap_node_vendor_empty_address	0x08AC2A3C	0x08A3F078	same	ItemList_WM_BorderMulan_Vendor	ItemList_WM_BorderMulan_Vendor	ROMFE8JP.cs:505
worldmap_node_secret_empty_address	0x08AC2B2E	0x08A3F16A	same	ItemList_WM_BorderMulan_SecretShop	ItemList_WM_BorderMulan_SecretShop	ROMFE8JP.cs:506
extends_address	0x09000000	0x09000000	oob		gUnkData_110+0x1000	ROMFE8JP.cs:508
pointer	0x0801BCBC	0x0801C02C	diff		DebugMenu_ErasedEffect+0x14	ROMFE8JP.cs:545
